,1_P1-100-3,1_P1-20-3,1_P1-200-3,1_P1-300-3,1_P1-40-3,1_P1-60-3,2_P1-100-3,2_P1-20-3,2_P1-200-3,2_P1-300-3,2_P1-40-3,2_P1-60-3,3_P1-20-3,3_P1-200-3,3_P1-300-3,3_P1-40-3,3_P1-60-3,4_P1-90-3,4_P1-20-3,4_P1-100-3,4_P1-200-3,4_P1-40-3,4_P1-60-3,4_P1-300-3,5_P1-20-3,3_P1-90-3,5_P1-100-3,5_P1-200-3,5_P1-300-3,5_P1-40-3,5_P1-90-3,6_P1-100-3,6_P1-20-3,6_P1-200-3,6_P1-40-3,6_P1-60-3,6_P1-300-3,7_P1-20-3,7_P1-40-3,7_P1-60-3,10_P1-20-3,10_P1-40-3,7_P1-105-3,7_P1-200-3,7_P1-300-3,8_P1-100-3,8_P1-115-3,8_P1-20-3,8_P1-200-3,8_P1-250-3,8_P1-40-3,8_P1-60-3,9_P1-100-3,9_P1-120-3,9_P1-20-3,9_P1-200-3,9_P1-40-3,9_P1-500-3,9_P1-60-3,10_P1-100-3,10_P1-120-3,10_P1-200-3,10_P1-500-3,10_P1-60-3,11_P1-100-3,11_P1-20-3,11_P1-200-3,11_P1-40-3,11_P1-500-3,11_P1-60-3,11_P1-70-3,12_P1-100-3,12_P1-20-3,12_P1-200-3,12_P1-40-3,12_P1-500-3,12_P1-60-3,13_P1-100-3,13_P1-20-3,13_P1-200-3,13_P1-40-3,13_P1-500-3,13_P1-60-3,14_P1-100-3,14_P1-20-3,14_P1-200-3,14_P1-40-3,14_P1-500-3,14_P1-60-3,15_P1-100-3,15_P1-20-3,15_P1-200-3,15_P1-40-3,15_P1-500-3,15_P1-60-3,16_P1-20-3,16_P1-100-3,16_P1-200-3,16_P1-40-3,16_P1-500-3,16_P1-60-3,17_P1-100-3,17_P1-20-3,17_P1-40-3,17_P1-500-3,17_P1-60-3,18_P1-100-3,18_P1-20-3,18_P1-200-3,18_P1-40-3,18_P1-500-3,18_P1-60-3,19_P1-100-3,19_P1-20-3,19_P1-200-3,19_P1-40-3,19_P1-500-3,19_P1-60-3,12_P2-100-3,12_P2-20-3,12_P2-200-3,12_P2-300-3,12_P2-40-3,12_P2-60-3,15_P2-100-3,15_P2-20-3,15_P2-200-3,15_P2-300-3,15_P2-40-3,15_P2-60-3,17_P2-100-3,17_P2-20-3,17_P2-200-3,17_P2-300-3,17_P2-40-3,17_P2-60-3,6_P2-100-3,6_P2-20-3,6_P2-200-3,6_P2-300-3,6_P2-40-3,6_P2-60-3,8_P2-20-3,8_P2-200-3,8_P2-300-3,8_P2-40-3,8_P2-60-3,18_P2-100-3,18_P2-20-3,18_P2-200-3,18_P2-300-3,18_P2-40-3,18_P2-60-3,20_P2-100-3,20_P2-20-3,20_P2-200-3,20_P2-300-3,20_P2-40-3,20_P2-60-3
7_P1-300-3,0.85,0.86,-0.19,0.92,0.98,1,0.79,0.9,0.31,0.82,0.94,1,0.76,0.51,-0.71,0.63,0.89,0.76,0.37,0.72,-0.97,0.83,-0.37,-0.7,-0.86,0.56,0.12,-0.56,-1,-0.57,-0.03,-0.71,0.93,-0.85,0.66,-0.1,-0.89,-0.64,-0.34,-0.92,-0.53,-0.06,-0.78,-0.91,0,-0.16,0.37,-0.06,-0.93,-0.99,-0.23,-0.71,0.34,-0.54,-0.06,-0.86,0.14,-1,-1,-0.89,0.02,-0.46,-0.98,-0.15,-0.15,-0.86,-0.26,0.44,-0.96,-0.43,0.14,0.23,0.28,0.21,0.11,-1,0.54,0.12,0.09,-0.22,0.39,-0.79,-0.09,-0.41,0.61,-0.16,0.54,-0.57,0.45,-0.6,-0.04,-0.54,0.64,-0.93,-0.25,0.7,0.06,-0.33,-0.07,-0.49,0.79,0.16,-0.01,0.24,-0.7,-0.69,-0.46,0.41,-0.14,0.16,-0.56,-0.25,-0.69,0.43,-0.05,0.21,-0.86,0.69,0.43,0.55,-0.48,-0.57,0.68,0.75,0,0.91,0.14,-0.08,0.9,0.54,0.07,0.3,0.09,-0.24,0.56,0.61,0.95,0.02,0.74,-0.57,0.74,-0.25,-0.01,0.75,0.44,0.77,0.96,0.33,0.16,-0.15,-0.53,0.16,0.37,0.31,0.48,-0.39,-0.62,0.84,0.4
8_P1-100-3,0.99,0.55,0.99,1,-0.15,0.34,0.79,-0.27,1,1,-0.64,0.54,-0.9,1,0.86,-0.73,-0.88,0.9,-0.07,0.97,0.98,0.79,0.3,0.9,-0.72,0.81,0.58,0.94,0.77,-0.95,-0.22,0.66,0.71,0.87,0.14,0.71,0.56,-1,-1,-0.99,-0.68,-0.99,0.42,0.03,-0.16,0,-0.2,-1,0.97,0.05,-1,-0.97,-0.88,-0.93,-0.99,0.79,-0.98,0.69,-0.36,0.19,0.83,0.99,0.36,-0.97,0.87,0.04,0.97,0.83,0.97,0.61,0.95,1,0.98,1,0.94,0.99,0.98,0.97,0.98,0.99,1,0.86,1,0.93,1,0.99,1,0.81,1,0.58,0.91,0.8,0.99,0.6,0.97,1,0.96,0.98,0.7,0.89,1,0.98,0.93,0.97,0.76,0.23,0.63,0.99,0.99,0.96,0.95,0.79,0.27,0.99,0.99,0.97,0.33,1,1,0.99,0.97,0.89,0.98,0.99,0.99,1,1,0.99,0.99,1,1,1,1,1,1,1,0.97,0.88,1,0.91,0.98,0.93,0.96,1,1,0.99,0.98,1,1,1,1,1,1,1,1,0.98,1,1,1
8_P1-115-3,1,1,0.99,1,0.96,0.81,0.28,0.97,1,1,0.9,0.96,0.88,1,0.96,0.98,0.95,0.34,0.18,0.45,1,0.89,-0.15,0.99,0.92,0.25,0.34,1,0.98,0.86,0.09,0.63,0.6,0.99,-0.36,0.42,0.79,0.88,0.72,0.9,0.88,0.89,-0.34,0.92,0.37,-0.2,0,0.25,1,0.49,0.89,0.3,0.13,0.51,0.58,0.96,0.62,0.92,0.7,0.86,0.41,1,0.78,0.85,0.77,0.75,0.98,0.86,1,0.29,0.64,1,0.99,0.99,0.98,1,0.99,0.99,1,1,1,0.97,1,1,1,1,1,0.94,1,0.75,0.99,0.95,1,0.89,1,1,0.99,1,0.89,0.99,1,1,1,1,0.95,0.62,0.91,1,1,1,1,0.96,0.68,1,1,1,0.66,1,1,1,0.99,0.98,0.97,0.97,0.98,1,1,1,1,1,1,1,1,1,1,1,0.58,0.99,1,0.99,1,0.99,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1
8_P1-20-3,0.99,-0.22,0.99,1,-0.63,-0.05,0.77,-0.78,1,1,-0.92,0.27,-0.99,0.99,0.87,-0.93,-0.9,0.95,-0.5,0.98,0.98,0.42,0.6,0.91,-0.96,0.83,0.72,0.9,0.78,-1,-0.13,0.68,0.61,0.83,0.08,0.84,0.26,-1,-1,-1,-0.97,-1,0.58,-0.17,-0.06,-1,0.25,0,0.96,0.18,-1,-1,-0.96,-0.97,-1,0.76,-1,0.68,-0.57,0,0.82,0.99,0.37,-1,0.89,-0.06,0.93,0.75,0.95,0.74,0.96,1,0.97,0.99,0.89,0.98,0.93,0.76,0.97,0.96,0.99,0.76,0.99,0.86,0.99,0.96,0.99,0.55,0.99,0.17,0.67,0.68,0.91,0.5,0.92,0.98,0.8,0.89,0.34,0.77,0.98,0.89,0.82,0.76,0.57,-0.05,0.36,0.86,0.92,0.79,0.86,0.46,0.03,0.87,0.93,0.75,-0.06,0.97,1,0.99,0.88,0.87,0.92,0.99,0.94,0.98,0.99,0.95,0.97,0.99,1,0.99,0.98,0.96,0.96,1,0.97,0.59,0.97,0.9,0.92,0.68,0.94,1,1,0.97,0.92,1,1,0.99,0.99,0.99,1,1,1,0.88,1,0.99,1
8_P1-200-3,0.99,1,0.63,0.78,1,1,0.99,1,0.91,0.44,1,1,1,-0.34,0.02,1,1,1,0.98,1,-0.24,1,0.78,-0.73,1,0.93,0.6,0.52,0.64,1,0.95,0.55,1,-1,1,1,-0.02,1,1,1,0.93,1,0.53,-0.84,-0.93,0.97,1,0.96,0,-1,1,0.69,0.99,0.91,0.99,-0.96,0.99,-1,-0.9,0.68,0.98,-0.87,-1,1,0.72,1,-0.98,1,-1,0.7,0.99,1,1,0.96,1,-1,1,0.9,1,0.8,1,0.44,1,0.86,1,0.99,1,-0.26,1,0.36,0.84,-0.62,1,-0.75,0.93,1,0.91,0.65,0.94,0.64,1,0.51,0.96,1,0.05,-0.52,0,1,0.88,0.98,-0.03,0.71,0.05,1,0.88,1,-0.13,1,1,1,0.78,-0.23,1,1,0.97,1,0.99,0.86,1,1,0.99,1,0.95,0.91,0.99,1,1,1,0.99,0.85,1,1,1,0.99,0.93,1,1,1,1,0.96,0.78,0.99,1,1,1,0.96,0.34,1,1
8_P1-250-3,0.89,0.91,-0.08,0.74,0.98,1,0.82,0.97,0.51,0.74,0.94,1,0.86,0.46,-0.49,0.94,0.96,0.8,0.56,0.85,-0.37,0.89,0.12,-0.49,0.31,0.71,0.21,-0.16,-0.74,0.35,0.38,-0.37,0.87,-0.64,0.63,0.55,-0.82,-0.8,0.03,-0.3,-0.35,-0.25,-0.36,-0.85,-0.99,0.05,0.49,0.18,-1,0,-0.23,-0.76,0.22,-0.33,0.14,-0.92,0.13,-1,-0.98,-0.86,-0.01,-0.89,-0.99,0.3,-0.56,-0.73,-0.93,0.47,-1,-0.24,0.31,0.26,-0.17,-0.27,-0.57,-0.99,0.71,-0.41,0.26,-0.85,0.23,-0.95,-0.38,-0.86,0.4,-0.72,0.5,-0.96,0.39,-0.83,-0.76,-0.97,0.74,-1,-0.48,0.78,-0.62,-0.85,0,-0.93,0.86,-0.63,-0.77,-0.09,-0.97,-0.97,-0.93,0.53,-0.83,-0.48,-0.95,-0.79,-0.91,0.08,-0.75,0.27,-0.97,0.68,0.94,0.83,-0.04,-0.09,0.75,0.82,0.22,0.95,0.58,0.15,0.92,0.79,0.56,0.33,0.07,0.07,0.42,0.62,0.97,0.51,0.82,0.04,0.91,0.39,0.59,0.92,0.7,0.92,0.96,0.3,0.3,0.03,0.02,0.43,0.5,0.52,0.85,0.14,-0.29,0.93,0.61
8_P1-40-3,1,1,0.94,1,-0.47,0.82,0.98,-0.9,1,1,-0.98,0.77,-1,1,0.84,-0.43,-0.16,1,-0.71,1,1,0.61,0.58,0.97,-0.09,0.99,0.97,0.99,1,0.49,-0.12,0.93,0.72,0.92,0.3,0.99,0.54,-1,-1,-0.99,-0.46,-1,0.87,0.1,-0.23,-1,0.89,-1,1,-0.23,0,-1,-0.43,-0.13,-1,0.34,-1,0.93,0.53,0.93,0.99,1,0.23,-1,0.89,1,0.72,0.99,0.98,0.9,1,1,1,0.99,1,0.98,1,1,1,0.95,1,0.87,1,0.97,1,1,1,0.79,1,0.54,0.95,0.6,1,0.29,0.99,1,0.98,0.98,0.92,0.96,1,0.99,0.99,1,0.61,0.55,0.76,1,0.98,0.99,0.99,0.9,0,1,0.97,1,0.1,1,1,1,0.95,0.99,0.99,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1
8_P1-60-3,0.99,0.25,0.79,1,-0.25,0.62,0.74,0.04,0.99,1,-0.58,0.89,-0.73,0.95,0.55,-0.26,0.04,0.96,-0.15,0.98,0.77,0.63,0.12,0.69,-0.75,0.83,0.72,0.81,0.39,-0.85,0.01,0.42,0.64,0.46,0.25,0.76,0.13,-1,-1,-1,-0.83,-1,0.22,-0.64,-0.71,-0.97,0.3,-1,0.69,-0.76,-1,0,-0.74,-0.89,-0.99,0.15,-0.96,-0.11,-0.85,-0.31,0.58,0.84,-0.43,-0.91,0.51,-0.16,0.4,0.75,0.61,0.39,0.82,0.98,0.85,0.89,0.7,0.73,0.94,0.71,0.86,0.71,0.91,0.27,0.85,0.5,0.98,0.84,0.99,0.02,0.96,-0.51,0.32,0.04,0.93,-0.16,0.68,0.97,0.41,0.62,0.36,0.4,0.99,0.74,0.52,0.72,0.02,-0.42,-0.04,0.89,0.63,0.55,0.51,0.01,-0.42,0.85,0.72,0.74,-0.56,0.95,1,0.98,0.77,0.59,0.95,0.97,0.93,0.99,0.96,0.85,0.99,0.99,1,0.97,0.95,0.85,0.92,1,0.98,0.58,0.98,0.73,0.96,0.75,0.88,1,0.99,0.97,0.96,0.99,0.97,0.93,0.98,0.96,1,0.98,1,0.75,0.93,0.99,0.99
9_P1-100-3,0.99,0.86,1,1,0.16,-0.03,0.35,0.53,1,1,-0.02,0.91,-0.12,1,0.98,0.29,0.09,0.67,0.75,0.78,1,0.99,0.67,0.98,0.58,0.08,-0.02,0.98,0.96,0.35,0.72,0.59,0.95,0.97,0.4,0.73,0.68,-0.19,-0.66,-0.57,-0.48,-0.42,-0.34,0.45,0.34,-0.88,0.13,-0.96,0.99,0.22,-0.43,-0.74,0,-1,-0.66,0.88,-0.94,0.81,0.15,0.19,0.38,0.99,0.57,-0.45,0.86,0.46,0.99,0.9,0.99,0.63,0.95,1,1,1,0.99,1,1,0.99,1,1,1,0.92,1,0.98,1,1,1,0.86,1,0.54,0.91,0.86,1,0.75,0.99,1,0.97,0.98,0.86,0.93,1,0.99,0.97,0.99,0.8,0.22,0.71,1,0.99,0.97,0.97,0.85,0.29,1,0.99,0.99,0.19,1,1,1,0.98,0.94,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,0.97,1,0.98,0.99,0.98,0.99,1,1,1,0.99,1,1,1,1,1,1,1,1,0.99,1,1,1
9_P1-120-3,0.98,0.96,0.92,1,-0.18,0.58,-0.09,0.6,0.99,1,-0.49,0.98,-0.46,0.98,0.77,0.54,0.69,0.92,0.65,0.99,0.98,0.99,0.31,0.97,0.87,0.01,0.26,0.98,0.92,0.87,0.51,0.47,0.86,0.5,0.56,0.96,0.69,-0.17,-0.6,-0.18,-0.17,-0.03,-0.84,-0.06,-0.54,-0.93,0.51,-0.97,0.91,-0.33,-0.13,-0.89,-1,0,-0.84,-0.03,-0.97,0.14,-0.62,0.24,0.46,0.85,-0.48,-0.47,0.39,0.8,0.53,0.98,0.81,0.03,0.82,1,1,0.98,0.98,0.82,1,0.99,1,0.93,1,0.86,1,0.9,1,1,1,0.68,1,0.47,0.9,0.28,1,0.28,0.91,1,0.97,0.97,0.87,0.83,1,0.99,0.97,1,0.68,0.26,0.69,1,0.98,0.99,0.9,0.88,0.17,1,0.97,1,0.3,1,1,1,0.98,0.79,0.99,0.99,1,1,1,0.99,1,1,1,1,1,1,1,1,0.94,0.99,1,0.95,1,0.99,0.99,1,1,1,0.99,1,1,1,1,1,1,1,1,0.99,1,1,1
9_P1-20-3,1,0.13,0.98,1,-0.47,0.51,0.94,-0.69,1,1,-0.88,0.52,-0.95,1,0.86,-0.82,-0.85,0.99,-0.2,1,0.99,0.7,0.77,0.95,-0.45,0.95,0.9,0.96,0.84,-0.57,0.07,0.82,0.83,0.93,0.62,0.94,0.48,-0.99,-0.99,-0.92,-0.82,-1,0.73,0.24,-0.06,-0.99,0.58,-1,0.99,0.14,-1,-0.99,-0.66,-0.84,0,0.84,-0.99,0.71,-0.35,0.5,0.94,1,0.32,-0.99,0.96,0.46,0.97,0.92,0.97,0.82,0.98,1,0.99,1,0.95,0.98,0.99,0.96,0.99,0.99,1,0.86,0.99,0.9,1,0.99,1,0.75,1,0.46,0.85,0.75,0.99,0.58,0.96,1,0.93,0.96,0.69,0.87,1,0.97,0.89,0.96,0.63,0.12,0.55,0.98,0.98,0.95,0.92,0.77,0.16,0.98,0.99,0.95,0.23,1,1,1,0.96,0.9,0.96,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,0.76,0.99,0.95,0.98,0.88,0.95,1,1,0.99,0.98,1,1,1,1,1,1,1,1,0.96,1,1,1
9_P1-200-3,0.98,1,0.02,0.69,1,1,1,1,0.8,0.81,1,1,1,0.55,0.35,1,1,0.98,0.97,1,-0.58,1,0.74,0.49,0.9,0.98,0.83,0.46,0.15,0.92,0.93,0.51,0.99,-0.48,0.99,0.97,0.22,0.12,0.72,0.74,0.86,0.78,0.39,-0.03,-0.86,0.79,0.96,0.76,-0.96,-0.92,0.34,0.15,0.88,-0.03,0.84,0,0.71,-0.99,-0.85,0.31,0.87,-1,-0.79,0.81,0.3,0.51,-0.64,0.94,-0.94,0.38,0.91,0.94,0.72,0.82,0.66,-0.82,0.99,0.93,0.94,0.67,0.99,0.09,0.94,-0.03,0.99,0.53,1,0.19,0.99,0.01,0.49,-0.53,0.99,-0.71,0.24,1,0.82,0.63,0.75,-0.08,1,0.6,0.3,0.94,-0.29,-0.69,-0.36,0.98,0.77,0.79,-0.12,0.62,-0.68,0.98,0.71,0.94,-0.19,1,0.98,0.98,0.67,-0.11,0.99,1,0.94,1,0.99,0.9,1,1,0.98,0.99,0.96,0.96,1,1,1,0.96,0.93,0.64,1,0.89,0.84,0.96,0.77,1,1,1,0.98,0.92,0.84,0.94,0.99,0.99,1,0.92,0.57,1,1
9_P1-40-3,1,0.7,0.99,1,-0.81,-0.26,0.84,-0.88,1,1,-0.96,-0.26,-0.99,1,0.91,-0.96,-0.87,0.99,-0.22,1,0.99,0.79,0.73,0.96,0.12,0.91,0.82,0.97,0.96,0.11,0.25,0.83,0.83,0.89,0.4,0.98,0.43,-1,-1,-1,-0.85,-1,0.76,0.04,0.14,-0.98,0.62,-1,0.99,0.13,-1,-0.96,-0.94,-0.97,-0.99,0.71,0,0.82,0.06,0.71,0.89,0.99,0.37,-1,0.86,0.7,0.91,0.85,0.98,0.78,0.98,1,0.99,0.99,0.96,0.99,0.99,0.88,0.99,0.93,1,0.77,0.98,0.94,1,0.98,1,0.57,1,-0.07,0.71,0.64,0.99,0.58,0.97,1,0.82,0.89,0.58,0.85,1,0.94,0.92,0.93,0.59,0.09,0.51,0.99,0.89,0.84,0.94,0.46,0.04,0.98,0.92,0.93,-0.22,0.99,1,0.99,0.96,0.96,0.84,1,0.98,1,1,0.99,0.99,1,1,1,1,0.99,0.99,1,0.98,0.91,0.99,0.97,0.96,0.92,0.97,1,1,0.99,0.89,1,1,1,1,1,1,1,1,0.96,1,1,1
9_P1-500-3,0.87,0.99,0.24,0.63,1,1,0.95,1,0.67,0.28,1,1,0.99,0.28,-0.29,0.99,0.98,0.99,0.92,1,0.08,1,0.41,-0.07,0.94,0.86,0.17,0.16,-0.22,0.94,0.64,0.4,0.93,-0.9,0.96,0.99,-0.26,0.44,0.83,0.76,0.66,0.96,-0.21,-0.75,-1,0.69,0.92,0.68,-1,-1,0.93,-0.11,0.81,0.14,0.71,-0.99,0.82,0,-0.91,0.2,0.74,-0.96,-0.97,0.84,0.03,0.83,-0.98,0.96,-0.94,-0.14,0.76,0.93,0.97,0.54,0.88,-0.98,0.99,0.5,0.81,-0.07,0.99,-0.27,0.81,-0.02,0.94,0.74,0.99,-0.75,0.99,-0.6,0.2,-0.93,0.97,-0.97,0.23,1,0.34,0.22,0.54,-0.12,1,0.22,0.3,0.84,-0.71,-0.61,-0.51,0.98,0.23,0.72,-0.26,-0.02,-0.69,0.9,0.32,0.79,-0.74,0.95,0.98,0.98,0.62,-0.27,0.98,0.99,0.88,1,0.95,0.67,0.99,0.99,0.9,0.97,0.7,0.6,0.89,1,1,0.97,0.97,0.59,0.99,0.92,0.93,0.99,0.91,1,1,0.91,0.94,0.68,0.35,0.74,0.98,0.89,1,0.8,0.04,1,1
9_P1-60-3,0.89,0.82,-0.66,0.88,0.54,0.98,0.54,0.9,0.36,0.83,0.61,1,0.49,0.35,-0.71,0.75,0.93,0.97,0.49,0.99,-0.13,0.93,-0.01,-0.06,0.48,0.59,0.61,0.18,-0.06,0.53,0.12,-0.09,0.84,-0.56,0.84,0.94,-0.77,0.02,0.3,0.11,-0.59,0.58,-0.28,-0.95,-1,-0.36,0.7,-0.57,-0.9,-0.98,0.53,-0.85,0.15,-0.62,-0.35,-0.85,0.06,-0.91,0,-0.34,0.57,-0.26,-1,0.41,-0.18,0.16,-0.84,0.87,-0.65,-0.16,0.64,0.92,0.92,0.45,0.76,-0.69,0.98,0.55,0.66,-0.37,0.97,-0.54,0.41,0.23,0.9,0.62,0.95,-0.76,0.95,-0.63,0.04,-0.75,0.95,-0.91,0.11,0.99,0.27,0.1,0.4,-0.01,1,0.59,0.58,0.75,-0.45,-0.28,-0.06,0.95,-0.14,0.56,-0.16,-0.16,-0.52,0.84,0.01,0.72,-0.97,0.93,0.94,0.93,-0.32,-0.43,0.85,0.94,0.46,0.99,0.66,0.3,0.99,0.9,0.87,0.85,0.39,-0.04,0.81,0.98,0.98,0.79,0.92,-0.13,0.94,0.52,0.74,0.99,0.94,0.97,0.97,0.75,0.82,0.47,0.35,0.82,0.92,0.83,0.97,0.2,-0.01,0.99,0.97
10_P1-100-3,1,1,0.83,1,0.88,0.98,0.54,1,0.99,1,0.94,1,0.95,1,0.75,1,1,1,0.94,1,1,1,0.66,0.96,0.99,0.81,0.81,0.97,0.93,0.99,0.83,0.7,0.98,0.8,0.92,1,0.28,0.66,0.88,0.9,0.22,0.96,0.15,0.09,-0.89,0.19,0.86,0,0.68,-0.86,0.93,-0.31,0.19,0.24,0.5,0.31,0.71,0.2,-0.34,0,0.43,0.67,-0.77,0.92,0.48,0.19,-0.62,0.99,-0.13,-0.13,0.88,1,1,0.95,0.98,0.02,1,0.9,1,0.05,0.99,-0.25,0.88,-0.46,1,0.93,1,-0.79,1,0.39,0.21,-0.06,1,-0.81,0.93,1,0.88,0.65,0.92,-0.63,1,-0.63,0.69,0.99,-0.81,-0.81,-0.91,1,0.49,0.5,-0.87,0.59,-0.19,0.99,0.34,1,-0.64,1,1,1,0.81,0.9,0.98,0.99,0.93,1,1,0.97,1,1,1,0.98,0.94,0.92,0.99,1,0.86,0.99,1,0.89,1,0.97,1,1,1,1,0.99,1,1,0.99,0.99,1,1,1,1,0.93,0.95,1,1
10_P1-120-3,0.98,1,1,1,1,0.99,0.22,1,1,1,1,1,1,1,0.99,1,1,0.75,0.98,0.8,1,1,0.79,0.99,1,0.4,0.14,0.98,0.84,0.99,0.97,0.69,1,0.99,0.89,0.89,0.75,0.99,0.95,0.97,0.89,0.99,-0.49,0.89,0.02,0.83,0.41,0.82,0.98,-0.01,0.99,0.58,0.38,0.46,0.94,0.87,0.89,0.74,0.57,0.43,0,0.96,0.57,0.93,0.74,0.9,0.95,0.97,0.97,0.02,0.51,1,1,1,0.96,0.99,1,0.91,1,0.99,1,0.92,1,0.98,1,1,1,0.72,1,0.56,0.92,0.83,1,0.71,1,1,0.97,0.99,0.94,0.95,1,1,0.98,0.99,0.81,0.24,0.68,1,0.99,0.97,0.98,0.75,0.45,0.99,0.99,0.99,0.04,1,1,1,0.98,0.94,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.74,0.99,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1
10_P1-200-3,0.97,1,0.44,0.38,1,1,1,1,0.93,0.59,1,1,1,0.74,0.82,1,1,1,1,1,0.51,1,0.95,0.91,1,0.99,0.94,0.85,0.78,1,0.99,0.82,1,-0.19,1,1,0.77,0.84,1,1,0.97,1,0.66,0.69,-0.46,0.99,1,0.99,-0.87,-0.89,1,0.84,0.99,0.85,1,-1,0.99,-0.96,-0.26,0.67,0.96,0,-0.51,1,0.76,0.95,-0.94,1,-0.58,0.74,1,1,1,1,0.99,-0.56,1,0.98,1,0.95,1,0.75,1,0.69,1,0.98,1,0.23,1,0.57,0.86,-0.12,1,-0.41,0.91,1,0.97,0.95,0.97,0.7,1,0.87,0.75,1,-0.01,-0.53,-0.13,1,0.96,0.98,0.28,0.81,-0.08,1,0.96,1,0,1,1,1,0.94,0.62,1,1,1,1,1,0.99,1,1,1,1,0.99,0.99,1,1,1,1,1,0.97,1,1,1,0.99,0.96,1,1,1,1,1,0.99,1,1,1,1,1,0.96,1,1
10_P1-500-3,0.84,0.92,-0.24,0.85,0.98,1,0.84,0.99,0.34,0.75,0.97,1,0.94,0.47,-0.45,0.92,0.97,0.95,0.68,0.98,0.08,0.95,0.17,0.05,0.62,0.63,0.56,0.11,-0.42,0.5,0.2,-0.09,0.86,-0.61,0.85,0.85,-0.67,-0.1,0.55,0.1,-0.07,0.37,-0.23,-0.69,-0.98,0.36,0.78,0.37,-1,-0.99,0.23,-0.43,0.57,-0.48,0.32,-0.79,0.37,-0.97,-1,-0.77,0.57,-0.51,0,0.61,-0.49,-0.32,-0.9,0.7,-0.99,-0.44,0.42,0.57,0.38,0.04,0.15,-0.99,0.88,0.29,0.2,-0.6,0.85,-0.64,0.14,-0.65,0.73,0.1,0.86,-0.85,0.76,-0.83,-0.39,-0.93,0.85,-0.98,-0.78,0.93,-0.11,-0.27,0.15,-0.69,0.96,-0.1,-0.17,0.48,-0.8,-0.78,-0.64,0.76,-0.39,0.18,-0.84,-0.43,-0.88,0.64,-0.34,0.38,-0.96,0.74,0.97,0.92,-0.1,0.16,0.77,0.88,0.26,0.97,0.65,0.11,0.94,0.79,0.87,0.6,0.36,0.09,0.66,0.92,0.98,0.47,0.84,0.15,0.89,0.15,0.7,0.98,0.82,0.95,0.98,0.74,0.73,0.46,0.64,0.75,0.86,0.78,0.92,0.23,0.14,0.97,0.9
10_P1-60-3,1,0.87,0.99,1,-0.82,0.5,0.96,-0.81,1,1,-0.9,0.22,-0.91,1,0.92,-0.62,-0.89,1,0.39,1,1,0.95,0.73,0.95,0.52,0.98,0.86,0.94,0.89,0.57,0.59,0.94,0.97,0.96,0.82,1,0.71,-0.98,-0.95,-0.96,-0.42,-1,0.81,0.4,-0.15,-0.97,0.85,-1,1,0.3,-1,-0.91,-0.45,-0.47,-0.99,0.81,-1,0.84,0.41,0.92,0.93,1,0.61,0,0.95,0.88,0.97,0.97,0.99,0.67,0.99,1,1,1,1,1,1,0.99,1,1,1,0.95,1,1,1,1,1,0.87,1,0.69,0.98,0.9,1,0.84,1,1,0.99,1,0.88,0.98,1,1,1,1,0.94,0.65,0.9,1,1,1,1,0.93,0.67,1,1,0.99,0.58,1,1,1,0.97,0.95,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.98,0.99,0.99,0.97,1,1,0.99,0.98,1,1,1,1,1,1,1,1,0.99,1,1,1
11_P1-100-3,0.83,1,0.91,1,1,1,0.97,1,0.99,1,1,1,1,1,0.97,1,1,0.95,0.97,0.99,0.97,1,0.88,0.97,0.98,0.93,0.91,0.98,0.85,0.98,0.96,0.8,0.99,0.9,0.98,0.97,0.76,0.92,0.9,0.91,0.93,0.93,0.46,0.83,-0.15,0.87,0.77,0.89,0.72,-0.56,0.89,0.51,0.86,0.39,0.96,0.3,0.86,0.03,-0.18,0.48,0.74,0.76,-0.49,0.95,0,0.39,0.3,0.52,0.67,-0.28,-0.67,-0.16,0.46,-0.24,0.27,0.82,0.83,0.9,0.93,0.84,0.98,0.6,0.91,0.67,1,0.93,1,0.78,1,0.55,0.75,0.26,1,-0.16,0.77,1,0.98,0.92,0.91,0.62,1,0.92,0.8,0.99,0.31,-0.31,0.18,1,0.97,0.94,0.59,0.89,-0.26,1,0.95,0.99,0.05,1,0.88,0.99,0.95,0.86,0.99,0.91,0.96,1,1,0.96,1,1,1,1,1,1,1,1,0.93,0.99,0.99,0.94,1,0.95,0.99,0.99,0.99,1,0.99,1,1,0.99,1,1,1,1,1,0.94,0.99,1,1
